Glyph,ALA-LC,Alone-Stokes,B&D,Campbell,Chaîne,Cohen,Dawkins,Dept of State,ethiop,SERA,ALA-LC_simp,Alone-Stokes_simp,B&D_simp,Campbell_simp,Chaîne_simp,Cohen_simp,Dawkins_simp,Dept of State_simp,ethiop_simp,SERA_simp
ቐ,,,,,qă,,,,q̣a,Qe,,,,,qa,,,,qa,qe
ቑ,,,,,qi,,,,q̣u,Qu,,,,,qi,,,,qu,qu
ቒ,,,,,qa,,,,q̣i,Qi,,,,,qa,,,,qi,qi
ቓ,,,,,,,,,q̣ā,Qa,,,,,,,,,qa,qa
ቔ,,,,,qĕ,,,,q̣ē,QE,,,,,qe,,,,qe,qe
ቕ,,,,,qo,,,,q̣e,Q,,,,,qo,,,,qe,q
ቖ,,,,,,,,,q̣o,Qo,,,,,,,,,qo,qo
ቘ,,,,,,,,,q̣wa,QWe,,,,,,,,,qwa,qwe
ቚ,,,,,,,,,q̣wi,QWi,,,,,,,,,qwi,qwi
ቛ,,,,,,,,,q̣wā,QWa,,,,,,,,,qwa,qwa
ቜ,,,,,,,,,q̣wē,QWE,,,,,,,,,qwe,qwe
ቝ,,,,,,,,,q̣we,QW,,,,,,,,,qwe,qw
በ,ba,ba,bä,ba,bă,bɑ,bä,bə,ba,be,ba,ba,ba,ba,ba,ba,ba,b@,ba,be
ቡ,bu,bu,bu,bū,bu,bu,bu,bu,bu,bu,bu,bu,bu,bu,bu,bu,bu,bu,bu,bu
ቢ,bi,bī,bi,bī,bi,bi,bi,bi,bi,bi,bi,bi,bi,bi,bi,bi,bi,bi,bi,bi
ባ,bā,bā,ba,bā,ba,ba,ba,ba,bā,ba,ba,ba,ba,ba,ba,ba,ba,ba,ba,ba
ቤ,bé,bē,be,bē,be,bʸe,be,be,bē,bE,be,be,be,be,be,bye,be,be,be,be
ብ,be/b,b/bi,bə/bø,be,bĕ,b/bə,bï,bɪ,be,b,be/b,b/bi,b@/bo,be,be,b/b@,bi,bi,be,b
ቦ,bo,bo,bo,bō,bo,bʷo,bo,bo,bo,bo,bo,bo,bo,bo,bo,bwo,bo,bo,bo,bo
ᎄ,,,,,,bwa,bwä,,bwa,bWe,,,,,,bwa,bwa,,bwa,bwe
ᎅ,,,,,,,,,bwi,bWi,,,,,,,,,bwi,bwi
ቧ,bwa,,,,,,,,bwā,bWa,bwa,,,,,,,,bwa,bwa
ᎆ,,,,,,,,,bwē,bWe,,,,,,,,,bwe,bwe
ᎇ,,,,,,,,,bwe,bW,,,,,,,,,bwe,bw
ቨ,va,,,,,,,və,va,ve,va,,,,,,,v@,va,ve
ቩ,vu,,,,,,,vu,vu,vu,vu,,,,,,,vu,vu,vu
ቪ,vi,,,,,,,vi,vi,vi,vi,,,,,,,vi,vi,vi
ቫ,vā,,,,,,,va,vā,va,va,,,,,,,va,va,va
ቬ,vé,,,,,,,ve,vē,vE,ve,,,,,,,ve,ve,ve
ቭ,ve/v,,,,,,,vɪ,ve,v,ve/v,,,,,,,vi,ve,v
ቮ,vo,,,,,,,vo,vo,vo,vo,,,,,,,vo,vo,vo
ቯ,,,,,,,,,vwā,vWa,,,,,,,,,vwa,vwa
ተ,ta,ta,tä,ta,tă,tɑ,tä,tə,ta,te,ta,ta,ta,ta,ta,ta,ta,t@,ta,te
ቱ,tu,tu,tu,tū,tu,tu,tu,tu,tu,tu,tu,tu,tu,tu,tu,tu,tu,tu,tu,tu
ቲ,ti,tī,ti,tī,ti,ti,ti,ti,ti,ti,ti,ti,ti,ti,ti,ti,ti,ti,ti,ti
ታ,tā,tā,ta,tā,ta,ta,ta,ta,tā,ta,ta,ta,ta,ta,ta,ta,ta,ta,ta,ta
ቴ,té,tē,te,tē,te,tʸe,te,te,tē,tE,te,te,te,te,te,tye,te,te,te,te
ት,te/t,t/ti,tə/tø,te,tĕ,t/tə,tï,tɪ,te,t,te/t,t/ti,t@/to,te,te,t/t@,ti,ti,te,t
ቶ,to,to,to,tō,to,tʷo,to,to,to,to,to,to,to,to,to,two,to,to,to,to
ቷ,twa,,,,,twa,twä,,twā,tWa,twa,,,,,twa,twa,,twa,twa
ቸ,ča,cha,čä,,tchă,čä,chä,cə,ča,ce,ca,cha,ca,,tcha,ca,cha,c@,ca,ce
ቹ,ču,chu,ču,,tchu,ču,chu,cu,ču,cu,cu,chu,cu,,tchu,cu,chu,cu,cu,cu
ቺ,či,chī,či,,tchi,či,chi,ci,či,ci,ci,chi,ci,,tchi,ci,chi,ci,ci,ci
ቻ,čā,chā,ča,,tcha,ča,cha,ca,čā,ca,ca,cha,ca,,tcha,ca,cha,ca,ca,ca
ቼ,čé,chē,če,,tche,če,che,ce,čē,cE,ce,che,ce,,tche,ce,che,ce,ce,ce
ች,če/č,ch/chi,čə/čø,,tchĕ,č/čə,chï,cɪ,če,c,ce/c,ch/chi,c@/co,,tche,c/c@,chi,ci,ce,c
