Glyph,USV,ALA-LC,Alone-Stokes,B&D,Campbell,Chaîne,Cohen,Dawkins,Dept of State,ethiop,SERA
ኅ,1285,ẖe/ẖ,h/hi,hə/hø/ḫə/ḫø,ḫe,ḫĕ,h/hə,hï,hɪ,ẖe,‘h
ኆ,1286,ẖo,ho,ho/ḫo,ḫō,ḫo,hʷo,ho,ho,ẖo,‘ho
ኈ,1288,ẖwa,hwa,huä/ḫuä,ḫua,ḫuă,hwå,hwe,hwə,ẖwa,hWe
ኊ,128A,ẖwi,hwī,hui/ḫui,ḫuī,ḫui,hwi,hwi,hwi,ẖwi,hWi
ኋ,128B,ẖwā,hwā,hua/ḫua,ḫuā,ḫua,hwa,hwä,hwa,ẖwā,hWa
ኌ,128C,ẖwé,hwē,hue/ḫue,ḫuē,ḫue,hwe,hwe,hwe,ẖwē,hWE
ኍ,128D,ẖwe,hwi,huə/ḫuə,ḫue,ḫuĕ,hwə/hwŭ,hwï,hwɪ,ẖwe,hW
ነ,1290,na,na,nä,na,nă,nɑ,nä,nə,na,ne
ኑ,1291,nu,nu,nu,nū,nu,nu,nu,nu,nu,nu
ኒ,1292,ni,nī,ni,nī,ni,ni,ni,ni,ni,ni
ና,1293,nā,nā,na,nāʼ,na,na,na,na,nā,na
ኔ,1294,né,nē,ne,nē,ne,nʸe,ne,ne,nē,nE
ን,1295,ne/n,n/ni,nə/nø,ne,nĕ,n/nə,nï,nɪ,ne,n
ኖ,1296,no,no,no,nō,no,nʷo,no,no,no,no
ኗ,1297,nwa,,,,,nwa,nwä,,nwā,nWa
ኘ,1298,ña,ña,ñä,,gnă,ñä,n̄ä,ñə,ña,Ne
ኙ,1299,ñu,ñu,ñu,,gnu,ñu,n̄u,ñu,ñu,Nu
ኚ,129A,ñi,ñī,ñi,,gni,ñi,n̄i,ñi,ñi,Ni
ኛ,129B,ñā,ñā,ña,,gna,ña,n̄a,ña,ñā,Na
ኜ,129C,ñé,ñē,ñe,,gne,ñe,n̄e,ñe,ñē,NE
ኝ,129D,ñe/ñ,ñ/ñi,ñə/ñø,,gnĕ,ñ/ñə,n̄ï,ñɪ,ñe,N
ኞ,129E,ño,ño,ño,,gno,ñʷo,n̄o,ño,ño,No
ኟ,129F,ñwa,,,,,ñwa,n̄wä,,ñwā,NWa
አ,12A0,ʼa,ā,ʾä,ʼa,ʾă,a,ä,a,ʼa,e/a
ኡ,12A1,ʼu,u,ʾu,ʼū,ʾu,u,u,u,ʼu,u/U
ኢ,12A2,ʼi,ī,ʾi,ʼī,ʾi,i,i,i,ʼi,i
ኣ,12A3,ʼā,ā,ʾa,ā,ʾa,a,a,a,ʼā,A/a
ኤ,12A4,ʼé,ē,ʾe,ʼē,ʾe,ʸe,e,e,ʼē,E
እ,12A5,ʼe,i,ʾə/ʾø,ʼe,ʾĕ,ə,ï,ɪ,ʼe,I
ኦ,12A6,ʼo,o,ʾo,ʼō,ʾo,ʷo,o,o,ʼo,o/O
ኧ,12A7,ă,,,,,ɑ-,,,ʼwa,ea
ከ,12A8,ka,ka,kä,ka,kă,kɑ,kä,kə,ka,ke
ኩ,12A9,ku,ku,ku,kū,ku,ku,ku,ku,ku,ku
ኪ,12AA,ki,kī,ki,kī,ki,ki,ki,ki,ki,ki
ካ,12AB,kā,kā,ka,kā,ka,ka,ka,ka,kā,ka
ኬ,12AC,ké,kē,ke,kē,ke,kʸe,ke,ke,kē,kE
ክ,12AD,ke/k,k/ki,kə/kø,ke,kĕ,k/kə,kï,kɪ,ke,k
ኮ,12AE,ko,ko,ko,kō,ko,kʷo,ko,ko,ko,ko
ኯ,12AF,,,,,,,,,,
ኰ,12B0,kwa,kwa,kuä,kua,kuă,kwå,kwe,kwə,kwa,kWe
ኲ,12B2,kwi,kwī,kui,kuī,kui,kwi,kwi,kwi,kwi,kWi
ኳ,12B3,kwā,kwā,kua,kuā,kua,kwa,kwä,kwa,kwā,kWa
ኴ,12B4,kwé,kwē,kue,kuē,kue,kwe,kwe,kwe,kwē,kWE
ኵ,12B5,kwe,kwi,kuə,kue,kuĕ,kwə/kwŭ,kwï,kwɪ,kwe,kW
ⷈ,2DC8,,,,,,,,,ḱa,‘ke
ⷉ,2DC9,,,,,,,,,ḱu,‘ku
ⷊ,2DCA,,,,,,,,,ḱi,‘ki
ⷋ,2DCB,,,,,,,,,ḱā,‘ka
ⷌ,2DCC,,,,,,,,,ḱē,‘kE
ⷍ,2DCD,,,,,,,,,ḱe,‘k
ⷎ,2DCE,,,,,,,,,ḱo,‘ko
ኸ,12B8,xa,kha,hä,,khă,hɑ,hä,hə,ḵa,Ke
ኹ,12B9,xu,khu,hu,,khu,hu,hu,hu,ḵu,Ku
ኺ,12BA,xi,khī,hi,,khi,hi,hi,hi,ḵi,Ki
ኻ,12BB,xā,khā,ha,,kha,ha,ha,ha,ḵā,Ka
ኼ,12BC,xé,khē,he,,khe,hʸe,he,he,ḵē,KE
ኽ,12BD,xe/x,kh/khi,hə/hø,,khĕ,h/hə,hï,hɪ,ḵe,K
ኾ,12BE,xo,kho,ho,,kho,hʷo,ho,ho,ḵo,Ko
ዀ,12C0,,,,,,,,,ḵwa,KWe
ዂ,12C2,,,,,,,,,ḵwi,KWi
ዃ,12C3,,,,,,,hwä,,ḵwā,KWa
ዄ,12C4,,,,,,,,,ḵwē,KWE
ዅ,12C5,,,,,,,,,ḵwe,KW
ⷐ,2DD0,,,,,,,,,h́a,Xe
ⷑ,2DD1,,,,,,,,,h́u,Xu
ⷒ,2DD2,,,,,,,,,h́i,Xi
ⷓ,2DD3,,,,,,,,,h́ā,Xa
ⷔ,2DD4,,,,,,,,,h́ē,XE
ⷕ,2DD5,,,,,,,,,h́e,X
ⷖ,2DD6,,,,,,,,,h́o,Xo
ወ,12C8,wa,wa,wä,wa,wă,wå,wä,wə,wa,we
ዉ,12C9,wu,wu,wu,wū,wu,wu,wu,wu,wu,wu
ዊ,12CA,wi,wī,wi,wī,wi,wi,wi,wi,wi,wi
ዋ,12CB,wā,wā,wa,wā,wa,wa,wa,wa,wā,wa
ዌ,12CC,wé,wē,we,wē,we,wʸe,we,we,wē,wE
ው,12CD,we/w,w/wi,wə/wø,we,wĕ,w/wə/wŭ,wï,wɪ,we,w
ዎ,12CE,wo,wo,wo,wō,wo,wo,wo,wo,wo,wo
ዐ,12D0,ʻa,ā,ʿä,ʽa,ʿă,a,ä,a,ʻa,‘e
ዑ,12D1,ʻu,u,ʿu,ʽū,ʿu,u,u,u,ʻu,‘u/‘U
ዒ,12D2,ʻi,ī,ʿi,ʽī,ʿi,i,i,i,ʻi,‘i
ዓ,12D3,ʻā,ā,ʿa,ʽā,ʿa,a,a,a,ʻā,‘A/‘a
ዔ,12D4,ʻé,ē,ʿe,ʽē,ʿe,ʸe,e,e,ʻē,‘E
ዕ,12D5,ʻe,i,ʿə/ʿø,ʽe,ʿĕ,ə,ï,ɪ,ʻe,‘I
ዖ,12D6,ʻo,o,ʿo,ʽō,ʿo,ʷo,o,o,ʻo,‘o/‘O
ዘ,12D8,za,za,zä,za,ză,zɑ,zä,zə,za,ze
ዙ,12D9,zu,zu,zu,zū,zu,zu,zu,zu,zu,zu
